Anket_ID,Date,Survey,Question,Answer,Departmant,Job Title,Team,Start_date,Is_manager
1,05.01.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",5,Finance,Reports Cons.,Reports,11.06.2022,Evet
1,05.01.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",5,Finance,Reports Cons.,Reports,11.06.2022,Hayır
1,05.01.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",7,Finance,Reports Cons.,Reports,11.06.2022,Hayır
1,05.01.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",8,Finance,Reports Cons.,Reports,11.06.2022,Hayır
1,05.01.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",5,Finance,Finance Manager,Banking,11.06.2022,Hayır
1,05.01.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",8,Finance,Finance Manager,Banking,11.06.2022,Hayır
1,05.01.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",8,Finance,Finance Manager,Banking,11.06.2022,Hayır
1,05.01.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",7,Finance,Accounter,Account,11.06.2022,Hayır
1,05.01.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",7,Finance,Accounter,Account,11.06.2022,Hayır
1,05.01.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",9,Finance,Accounter,Account,11.06.2022,Hayır
1,05.01.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",10,Finance,Accounter,Account,11.06.2022,Hayır
1,05.01.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",10,Finance,Customer Releation,Customer,11.06.2022,Hayır
1,05.01.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",9,Finance,Customer Releation,Customer,11.06.2022,Evet
2,11.02.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",9,Finance,Reports Cons.,Reports,11.06.2022,Evet
2,11.02.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",8,Finance,Reports Cons.,Reports,11.06.2022,Hayır
2,11.02.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",6,Finance,Reports Cons.,Reports,11.06.2022,Hayır
2,11.02.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",5,Finance,Reports Cons.,Reports,11.06.2022,Hayır
2,11.02.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",8,Finance,Finance Manager,Banking,11.06.2022,Hayır
2,11.02.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",9,Finance,Finance Manager,Banking,11.06.2022,Hayır
2,11.02.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",4,Finance,Finance Manager,Banking,11.06.2022,Hayır
2,11.02.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",5,Finance,Accounter,Account,11.06.2022,Hayır
2,11.02.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",8,Finance,Accounter,Account,11.06.2022,Hayır
2,11.02.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",9,Finance,Accounter,Account,11.06.2022,Hayır
2,11.02.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",5,Finance,Accounter,Account,11.06.2022,Hayır
2,11.02.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",10,Finance,Customer Releation,Customer,11.06.2022,Hayır
2,11.02.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",4,Finance,Customer Releation,Customer,11.06.2022,Evet
1,05.01.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",7,Human Resource,Job Hunter,Job Creation,24.12.2022,Evet
1,05.01.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",5,Human Resource,Job Hunter,Job Creation,30.06.2021,Hayır
1,05.01.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",7,Human Resource,Employee Exp,Experience,11.03.2022,Hayır
1,05.01.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",8,Human Resource,Employee Exp,Experience,01.12.2020,Evet
1,05.01.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",10,Human Resource,Employee Exp,Experience,11.03.2021,Hayır
1,05.01.2023,Mutluluk Anketi,"‍""Bizi tercih ettiğiniz bir işveren olarak ailenize, arkadaşlarınıza ve çevrenize tavsiye etme olasılığınız nedir?""",8,Human Resource,Payroll Cons.,PayRoll,11.06.2022,Evet
